created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 19:29:32 +0530,372,,,52.4,87.7
2025-01-01 19:29:56 +0530,373,,,53.3,89.3
2025-01-01 19:30:20 +0530,374,,,53.6,91.1
2025-01-01 19:30:42 +0530,375,,,53.6,83.0
2025-01-01 19:31:06 +0530,376,,,53.8,84.9
2025-01-01 19:31:29 +0530,377,,,52.4,86.4
2025-01-01 19:31:51 +0530,378,,,52.9,86.2
2025-01-01 19:32:14 +0530,379,,,53.2,83.5
2025-01-01 19:32:37 +0530,380,,,54.3,84.4
2025-01-01 19:32:59 +0530,381,,,52.7,81.9
2025-01-01 19:33:22 +0530,382,,,52.7,83.0
2025-01-01 19:33:44 +0530,383,,,53.4,89.9
2025-01-01 19:34:07 +0530,384,,,51.7,90.7
2025-01-01 19:34:30 +0530,385,,,53.3,87.1
2025-01-01 19:34:52 +0530,386,,,54.6,86.2
2025-01-01 19:35:15 +0530,387,,,54.9,91.9
2025-01-01 19:35:38 +0530,388,,,54.3,90.5
2025-01-01 19:36:00 +0530,389,,,54.1,86.4
2025-01-01 19:36:23 +0530,390,,,53.2,86.9
2025-01-01 19:36:45 +0530,391,,,53.2,88.2
2025-01-01 19:37:08 +0530,392,,,52.6,85.1
2025-01-01 19:37:31 +0530,393,,,53.4,90.3
2025-01-01 19:37:54 +0530,394,,,53.7,82.4
2025-01-01 19:38:17 +0530,395,,,53.9,82.6
2025-01-01 19:38:40 +0530,396,,,53.5,89.0
2025-01-01 19:39:02 +0530,397,,,52.6,83.7
2025-01-01 19:39:25 +0530,398,,,52.2,86.6
2025-01-01 19:39:47 +0530,399,,,52.5,85.5
2025-01-01 19:40:10 +0530,400,,,53.8,88.0
2025-01-01 19:40:32 +0530,401,,,53.6,86.0
2025-01-01 19:40:55 +0530,402,,,53.6,84.3
2025-01-01 19:41:17 +0530,403,,,54.6,86.1
2025-01-01 19:41:40 +0530,404,,,53.4,84.6
2025-01-01 19:42:02 +0530,405,,,52.4,85.0
2025-01-01 19:42:25 +0530,406,,,52.7,85.8
2025-01-01 19:42:47 +0530,407,,,53.0,85.1
2025-01-01 19:43:10 +0530,408,,,53.6,87.3
2025-01-01 19:43:32 +0530,409,,,55.4,91.5
2025-01-01 19:43:55 +0530,410,,,55.3,87.2
2025-01-01 19:44:17 +0530,411,,,54.5,87.2
2025-01-01 19:44:40 +0530,412,,,52.7,81.0
2025-01-01 19:45:03 +0530,413,,,53.3,85.5
2025-01-01 19:45:26 +0530,414,,,54.5,85.8
2025-01-01 19:45:48 +0530,415,,,54.2,86.0
2025-01-01 19:46:11 +0530,416,,,52.5,82.2
2025-01-01 19:46:33 +0530,417,,,53.6,83.9
2025-01-01 19:46:56 +0530,418,,,54.5,85.6
2025-01-01 19:47:18 +0530,419,,,54.3,84.5
2025-01-01 19:47:41 +0530,420,,,55.2,90.5
2025-01-01 19:48:04 +0530,421,,,54.3,85.9
2025-01-01 19:48:26 +0530,422,,,53.7,84.2
2025-01-01 19:48:48 +0530,423,,,52.3,83.5
2025-01-01 19:49:11 +0530,424,,,53.9,84.6
2025-01-01 19:49:34 +0530,425,,,54.1,89.1
2025-01-01 19:49:56 +0530,426,,,55.0,88.3
2025-01-01 19:50:19 +0530,427,,,54.6,85.3
2025-01-01 19:50:41 +0530,428,,,55.1,87.5
2025-01-01 19:51:04 +0530,429,,,54.2,82.7
2025-01-01 19:51:26 +0530,430,,,54.0,79.9
2025-01-01 19:51:49 +0530,431,,,53.4,82.8
2025-01-01 19:52:11 +0530,432,,,53.9,85.7
2025-01-01 19:52:34 +0530,433,,,54.3,82.9
2025-01-01 19:52:58 +0530,434,,,53.9,81.7
2025-01-01 19:53:20 +0530,435,,,53.6,83.0
2025-01-01 19:53:43 +0530,436,,,53.0,83.1
2025-01-01 19:54:05 +0530,437,,,53.3,83.5
2025-01-01 19:54:28 +0530,438,,,54.5,84.6
2025-01-01 19:54:50 +0530,439,,,55.0,84.4
2025-01-01 19:55:13 +0530,440,,,55.5,81.1
2025-01-01 19:55:36 +0530,441,,,52.6,82.3
2025-01-01 19:55:58 +0530,442,,,53.8,81.8
2025-01-01 19:56:21 +0530,443,,,53.7,81.1
2025-01-01 19:56:44 +0530,444,,,53.8,84.2
2025-01-01 19:57:07 +0530,445,,,54.3,85.9
2025-01-01 19:57:29 +0530,446,,,53.9,82.3
2025-01-01 19:57:52 +0530,447,,,54.5,83.7
2025-01-01 19:58:15 +0530,448,,,55.6,80.2
2025-01-01 19:58:37 +0530,449,,,54.7,82.2
2025-01-01 19:59:00 +0530,450,,,54.5,81.7
2025-01-01 19:59:22 +0530,451,,,53.9,80.3
2025-01-01 19:59:45 +0530,452,,,54.4,84.3
2025-01-01 20:00:07 +0530,453,,,54.7,82.5
2025-01-01 20:00:31 +0530,454,,,54.4,83.1
2025-01-01 20:00:53 +0530,455,,,53.3,83.1
2025-01-01 20:01:18 +0530,456,,,54.4,83.8
2025-01-01 20:01:46 +0530,457,,,55.1,84.2
2025-01-01 20:02:10 +0530,458,,,54.0,83.7
2025-01-01 20:02:32 +0530,459,,,54.1,80.8
2025-01-01 20:02:55 +0530,460,,,54.7,82.0
2025-01-01 20:03:18 +0530,461,,,55.1,86.7
2025-01-01 20:03:40 +0530,462,,,54.9,82.5
2025-01-01 20:04:03 +0530,463,,,55.9,84.5
2025-01-01 20:04:25 +0530,464,,,53.7,83.8
2025-01-01 20:04:48 +0530,465,,,53.9,84.8
2025-01-01 20:05:10 +0530,466,,,54.8,82.4
2025-01-01 20:05:33 +0530,467,,,53.0,80.0
2025-01-01 20:05:55 +0530,468,,,52.2,76.9
2025-01-01 20:06:18 +0530,469,,,52.6,79.5
2025-01-01 20:06:40 +0530,470,,,53.7,81.6
2025-01-01 20:07:03 +0530,471,,,54.4,80.9
2025-01-01 20:07:25 +0530,472,,,53.9,82.6
2025-01-01 20:07:47 +0530,473,,,53.7,81.1
2025-01-01 20:08:10 +0530,474,,,53.5,80.4
2025-01-01 20:08:32 +0530,475,,,54.4,81.1
2025-01-01 20:08:55 +0530,476,,,54.9,83.4
2025-01-01 20:09:18 +0530,477,,,55.4,87.0
2025-01-01 20:09:40 +0530,478,,,54.8,83.9
2025-01-01 20:10:03 +0530,479,,,53.8,80.2
2025-01-01 20:10:25 +0530,480,,,54.1,80.0
2025-01-01 20:10:48 +0530,481,,,55.2,82.7
2025-01-01 20:11:10 +0530,482,,,55.6,85.4
2025-01-01 20:11:33 +0530,483,,,54.5,82.7
2025-01-01 20:11:55 +0530,484,,,54.2,80.8
2025-01-01 20:12:18 +0530,485,,,54.7,82.7
2025-01-01 20:12:40 +0530,486,,,55.7,83.3
2025-01-01 20:13:02 +0530,487,,,53.9,77.5
2025-01-01 20:13:26 +0530,488,,,54.7,81.5
2025-01-01 20:13:48 +0530,489,,,54.5,80.9
2025-01-01 20:14:11 +0530,490,,,55.6,81.3
2025-01-01 20:14:34 +0530,491,,,55.1,83.7
2025-01-01 20:14:57 +0530,492,,,55.5,81.7
2025-01-01 20:15:19 +0530,493,,,54.8,79.5
2025-01-01 20:15:42 +0530,494,,,55.0,83.1
2025-01-01 20:16:04 +0530,495,,,54.6,82.4
2025-01-01 20:16:32 +0530,496,,,54.1,81.5
2025-01-01 20:16:57 +0530,497,,,54.3,79.1
2025-01-01 20:17:21 +0530,498,,,53.6,81.4
2025-01-01 20:17:44 +0530,499,,,54.8,80.9
2025-01-01 20:18:08 +0530,500,,,54.4,83.8
2025-01-01 20:18:32 +0530,501,,,53.8,79.0
2025-01-01 20:18:55 +0530,502,,,54.2,82.5
2025-01-01 20:19:18 +0530,503,,,54.2,80.0
2025-01-01 20:19:40 +0530,504,,,53.9,79.3
2025-01-01 20:20:03 +0530,505,,,52.6,75.2
2025-01-01 20:20:25 +0530,506,,,54.9,79.0
